course_code,course_title,credits,prerequisite,prerequisite_status,batch,source_type,source_sheet,source_row
UCOR103,Communication Skills,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,3
UCOR203,Leadership and Teamwork Skills,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,3
UCOR205,Socio Cultural Perspectives on Indian Life-SPIL,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,3
UCOR210,Critical Thinking,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,3
UCOR104,Problem Solving with Design Thinking,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,4
UCOR701,Community Engagement & Service Experience,1.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,4
UCOR201,Introduction to Epistemology,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,4
UCOR102,Introduction to writing,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,5
UCOR106,Learning to Learn,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,5
MATH201,Calculus,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,7
MATH202,Probability Theory,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,7
MTSC781,Sustainable Cities and Communities,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,7
SLAD206,Human Values in Work and Life,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,7
LANG101,Language,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,7
COMP132,Design Workshop,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,8
MTSC211,Sustainable Smart Materials,3.0,MTSC111,recorded,2022,semester_excel,Sem Spread BTECH-2022,8
SLAD207,Foundation Seminar,1.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,8
MTSC111,Materials for Smart Devices,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,9
ENGL201,Academic Writing,3.0,UCOR102,recorded,2022,semester_excel,Sem Spread BTECH-2022,9
MATH204,Linear Algebra,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,9
DATA131,Visualizing Data for Story Telling,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,10
PSYC101/ECON101,Introduction to Psychology/Introduction to Economics,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,11
DATA130,Computational Thinking,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,12
COMP201,Data Structures,4.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,12
COMP203,Analysis of Algorithms,4.0,COMP201,recorded,2022,semester_excel,Sem Spread BTECH-2022,12
COMP205,Object Oriented Programming,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,12
COMP208,Networks,4.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,12
COMP302,Internet of Things,2.0,"COMP132, COMP201, COMP206, COMP208, COMP301",recorded,2022,semester_excel,Sem Spread BTECH-2022,12
MATH205,Statistics with R,3.0,MATH202,recorded,2022,semester_excel,Sem Spread BTECH-2022,13
COMP202,Theoretical Computer Science,4.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,13
COMP204,Digital Design and Computer Organization,4.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,13
COMP207,Operating Systems,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,13
COMP206,Microprocessors and Computer Architecture,4.0,"COMP204, COMP207",recorded,2022,semester_excel,Sem Spread BTECH-2022,13
COMP301,Artificial Intelligence,4.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,14
COMP209,Databases Management,4.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,15
DATA201,Foundations to Data Science,3.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,16
DATA202,Exploratory Data Analysis,3.0,"DATA201, MATH203",recorded,2022,semester_excel,Sem Spread BTECH-2022,16
MATH301,Optimization Techniques for Data Science,4.0,MATH201,recorded,2022,semester_excel,Sem Spread BTECH-2022,16
DATA301,Machine Learning,4.0,"DATA202, MATH301",recorded,2022,semester_excel,Sem Spread BTECH-2022,16
DATA302,Deep Learning,4.0,DATA301,recorded,2022,semester_excel,Sem Spread BTECH-2022,16
DATA207,Human Centric AI,2.0,COMP210/COMP301,recorded,2022,semester_excel,Sem Spread BTECH-2022,17
MATH401/COMP401,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,4.0,NIL/NIL,recorded,2022,semester_excel,Sem Spread BTECH-2022,18
DATA402/DATA406,SPT-Course #2 (Advanced Visualization and Storytelling/Big Data Framework),4.0,DATA301/NIL,recorded,2022,semester_excel,Sem Spread BTECH-2022,18
DATA403/COMP402,SPT-Course #3 (Natural Language Processing / Software Architecture and Deployments),4.0,"DATA302/COMP205, COMP401",recorded,2022,semester_excel,Sem Spread BTECH-2022,18
COMP401,,,,not_recorded,2022,semester_excel,Sem Spread BTECH-2022,19
DATA404,SPT-Course #4 (Multi Modal Learning / Cloud Computing),4.0,DATA302,recorded,2022,semester_excel,Sem Spread BTECH-2022,19
DATA405,SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),4.0,"MATH202, MATH204",recorded,2022,semester_excel,Sem Spread BTECH-2022,20
DATA801,Summer Training/Internship,2.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,22
DATA802,Interdisciplinary Project,4.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,22
DATA803,Capstone Project/Industrial Internship,12.0,Nil,explicit_none,2022,semester_excel,Sem Spread BTECH-2022,22
UCOR103,Communication Skills,2.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,3
UCOR203,Leadership and Teamwork Skills,2.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,3
UCOR205,Socio Cultural Perspectives on Indian Life-SPIL,3.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,3
UCOR104,Problem Solving with Design Thinking,2.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,4
UCOR701,Community Engagement & Service Experience,1.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,4
UCOR102,Introduction to writing,2.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,5
UCOR106,Learning to Learn,2.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,5
UCOR201,Introduction to Epistemology,2.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,5
MATH202,Probability Theory,3.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,7
MATH201,Calculus,3.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,7
MTSC781,Sustainable Cities and Communities,3.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,7
COMP132,Design Workshop,2.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,8
MTSC211,Sustainable Smart Materials,3.0,MTSC111,recorded,2023,semester_excel,Sem_Spread_2023,8
MATH204,Linear Algebra,3.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,8
MTSC111,Materials for Smart Devices,3.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,9
ENGL201,Academic Writing,3.0,UCOR102,recorded,2023,semester_excel,Sem_Spread_2023,9
PSYC101/ECON101,Introduction to Psychology/Introduction to Economics,3.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,10
DATA131,Visualizing Data for Story Telling,2.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,11
COMP201,Data Structures,4.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,12
COMP203,Analysis of Algorithms,4.0,COMP201,recorded,2023,semester_excel,Sem_Spread_2023,12
MATH205,Statistics with R,3.0,MATH202,recorded,2023,semester_excel,Sem_Spread_2023,13
COMP202,Theoretical Computer Science,4.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,13
MATH207,Research Methodology,3.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,14
DATA201,Foundations to Data Science,3.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,16
DATA202,Exploratory Data Analysis,3.0,"DATA201, MATH203",recorded,2023,semester_excel,Sem_Spread_2023,16
DATA403,SPT-Course #3 (Natural Language Processing / Natural Language Processing),4.0,DATA302,recorded,2023,semester_excel,Sem_Spread_2023,18
DATA404/COMP402,SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),4.0,"DATA302/COMP205, COMP401",recorded,2023,semester_excel,Sem_Spread_2023,19
DATA408/COMP405,SPT-Course #5 Advanced Topics in Deep Learning LTP: 3-0-2/ Cloud &Cognitive Computing LTP: 2-0-4,4.0,DATA302,recorded,2023,semester_excel,Sem_Spread_2023,20
DATA802,Interdisciplinary Project,4.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,22
DATA803,Capstone Project/Industrial Internship,12.0,Nil,explicit_none,2023,semester_excel,Sem_Spread_2023,22
UCOR106,Learning to Learn,2.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,3
UCOR105,Communication and Leadership Skills,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,3
UCOR205,Socio Cultural Perspectives on Indian Life-SPIL,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,3
UCOR310,Critical Thinking,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,3
UCOR104,Problem Solving with Design Thinking,2.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,4
UCOR701,Community Engagement & Service Experience,1.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,4
LAWS101,Fundamentals of Indian Constitution and Human Rights,2.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,4
UCOR102,Introduction to writing,2.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,5
MATH203,Probability and Statistics,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,7
MATH201,Calculus,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,7
MTSC781,Sustainable Cities and Communities,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,7
SLAD206,Human Values in Work and Life,2.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,7
LANG101,Kannada/ Language,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,7
COMP132,Design Workshop,2.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,8
MTSC211,Sustainable Smart Materials,3.0,MTSC111,recorded,2024,semester_excel,Sem_Spread_2024,8
MATH204,Linear Algebra,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,8
MTSC111,Materials for Smart Devices,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,9
ENGL210,Academic Writing,2.0,UCOR102,recorded,2024,semester_excel,Sem_Spread_2024,9
PSYC101/ECON101,Introduction to Psychology/Introduction to Economics,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,11
COMP403,Cloud Computing,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,11
DATA103,Programming in Python,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,12
COMP201,Data Structures,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,12
COMP203,Analysis of Algorithms,4.0,COMP201,recorded,2024,semester_excel,Sem_Spread_2024,12
COMP209,Databases Management,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,12
COMP208,Networks,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,12
COMP302,Internet of Things,2.0,"COMP132, COMP201, COMP206, COMP208, COMP301",recorded,2024,semester_excel,Sem_Spread_2024,12
DATA132,Data visualization and Storytelling,3.0,DATA103,recorded,2024,semester_excel,Sem_Spread_2024,13
COMP202,Theoretical Computer Science,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,13
COMP204,Digital Design and Computer Organization,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,13
COMP207,Operating Systems,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,13
COMP206,Microprocessors and Computer Architecture,4.0,"COMP204, COMP207",recorded,2024,semester_excel,Sem_Spread_2024,13
COMP301,Artificial Intelligence,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,14
COMP205,Object Oriented Programming,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,15
DATA201,Foundations to Data Science,3.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,16
DATA202,Exploratory Data Analysis,3.0,"DATA201, MATH203",recorded,2024,semester_excel,Sem_Spread_2024,16
MATH301,Optimization Techniques for Data Science,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,16
DATA301,Machine Learning,4.0,"DATA202, MATH301",recorded,2024,semester_excel,Sem_Spread_2024,16
DATA302,Deep Learning,4.0,DATA301,recorded,2024,semester_excel,Sem_Spread_2024,16
MATH206,Advanced Statistical Analysis and Research Methods with R,2.0,MATH203,recorded,2024,semester_excel,Sem_Spread_2024,17
MATH401/COMP401,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,4.0,NIL/NIL,recorded,2024,semester_excel,Sem_Spread_2024,18
DATA404/DATA406,SPT-Course #2-Multi Modal Learning/Big Data Framework,4.0,DATA302/NIL,recorded,2024,semester_excel,Sem_Spread_2024,18
DATA403,SPT-Course #3 (Natural Language Processing / Natural Language Processing),4.0,DATA302,recorded,2024,semester_excel,Sem_Spread_2024,18
DATA408/COMP402,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),4.0,"DATA302/COMP205, COMP401",recorded,2024,semester_excel,Sem_Spread_2024,19
DATA405,SPT-Course #5 Reinforcement Learning/Reinforcement Learning,4.0,"MATH202, MATH204",recorded,2024,semester_excel,Sem_Spread_2024,20
DATA801,Summer Training/Internship,2.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,23
DATA802,Interdisciplinary Project,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,23
DATA803,Capstone Project/Industrial Internship,12.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,23
UCOR103,Communication Skills,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,3
UCOR111,Environmental Studies and Sustainability,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,3
UCOR207,Analytical Academic Writing,3.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,3
