source_workbook,source_sheet,source_row,minor,batch,course_code_raw,course_code,course_code_status,course_title_raw,course_title,lecture_hours,tutorial_hours,practical_hours,credits,semester,prerequisite_raw,prerequisite,prerequisite_status
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,3,Law Minor,2023,LAWM305,LAWM305,recorded,Regulating platform and Gig workers,Regulating platform and Gig workers,3.0,0.0,2.0,4.0,S5,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,4,Law Minor,2023,LAWE200,LAWE200,recorded,Moral Philosophy and Justice,Moral Philosophy and Justice,2.0,0.0,0.0,2.0,S6,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,5,Law Minor,2023,LAWC410,LAWC410,recorded,Introduction to Alternative Dispute Resolution Methods,Introduction to Alternative Dispute Resolution Methods,2.0,0.0,2.0,3.0,S6,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,6,Law Minor,2023,LAWB210,LAWB210,recorded,Criminology and Victimology,Criminology and Victimology,2.0,2.0,0.0,4.0,S6,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,7,Law Minor,2023,LAWM306,LAWM306,recorded,Law Relating to start-ups,Law Relating to start-ups,3.0,1.0,0.0,4.0,S7,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,8,Law Minor,2023,LAWE301,LAWE301,recorded,Intellectual Property Rights,Intellectual Property Rights,2.0,0.0,0.0,2.0,S7,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,11,Law Minor,2024,LAWP100,LAWP100,recorded,Political Science I,Political Science I,2.0,1.0,0.0,3.0,S3,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,12,Law Minor,2024,LAWS301,LAWS301,recorded,Legal Methods,Legal Methods,2.0,0.0,2.0,3.0,S3,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,13,Law Minor,2024,LAWM301,LAWM301,recorded,Constitution for Citizens,Constitution for Citizens,2.0,2.0,0.0,4.0,S4,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,14,Law Minor,2024,LAWM302,LAWM302,recorded,Basics of International Law,Basics of International Law,3.0,1.0,0.0,4.0,S5,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,15,Law Minor,2024,,,missing_in_source,TBA,TBA,,,,10.0,,,,not_recorded
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,17,Law Minor,2025,LAWS301,LAWS301,recorded,Legal Methods,Legal Methods,2.0,0.0,2.0,3.0,S3,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,18,Law Minor,2025,LAWP101,LAWP101,recorded,Introduction to Political science,Introduction to Political science,3.0,1.0,0.0,4.0,S2,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,19,Law Minor,2025,,,missing_in_source,TBA,TBA,,,,17.0,,,,not_recorded
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,21,Law Minor,2026,,,missing_in_source,TBA,TBA,,,,24.0,,,,not_recorded
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,2,Design Minor,2022,CDES105,CDES105,recorded,Appreciating and Deconstructing Art and Media,Appreciating and Deconstructing Art and Media,3.0,0.0,0.0,3.0,S3,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,3,Design Minor,2022,CDES203,CDES203,recorded,Motion Graphic Design,Motion Graphic Design,1.0,0.0,2.0,2.0,S5,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,4,Design Minor,2022,CDES504,CDES504,recorded,Environment Design and Communication,Environment Design and Communication,1.0,1.0,0.0,2.0,S5,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,5,Design Minor,2022,CDES704,CDES704,recorded,Integrative Studio VI- Exhibition/Museum,Integrative Studio VI- Exhibition/Museum,2.0,2.0,0.0,4.0,S6,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,6,Design Minor,2022,CDES402,CDES402,recorded,Interaction Design- UI UX,Interaction Design- UI UX,1.0,3.0,0.0,4.0,S6,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,7,Design Minor,2022,CDES216,CDES216,recorded,Drawing and Moving Images,Drawing and Moving Images,1.0,1.0,0.0,2.0,S7,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,8,Design Minor,2022,CDES712,CDES712,recorded,Designing Futures,Designing Futures,1.0,2.0,0.0,3.0,S7,"(CDES402-Interaction Design- UI UX), (CDES504- Environment Design and Communication)","(CDES402-Interaction Design- UI UX), (CDES504- Environment Design and Communication)",recorded
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,11,Design Minor,2023,CDES105,CDES105,recorded,Appreciating and Deconstructing Art and Media,Appreciating and Deconstructing Art and Media,3.0,0.0,0.0,3.0,S3,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,12,Design Minor,2023,CDES702,CDES702,recorded,"Integrative Studio II- Sensemaking, Visualization","Integrative Studio II- Sensemaking, Visualization",2.0,2.0,0.0,4.0,S4,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,13,Design Minor,2023,CDES221,CDES221,recorded,Information Architecture and Design,Information Architecture and Design,2.0,2.0,0.0,4.0,S5,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,14,Design Minor,2023,CDES219,CDES219,recorded,Elements of Sound,Elements of Sound,2.0,2.0,0.0,4.0,S6,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,15,Design Minor,2023,CDES301,CDES301,recorded,Sketch to Story,Sketch to Story,2.0,2.0,0.0,4.0,S6,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,16,Design Minor,2023,CDES312,CDES312,recorded,Designing Futures,Designing Futures,2.0,2.0,2.0,5.0,S7,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,18,Design Minor,2024,CDES217,CDES217,recorded,Making with Reframed Media,Making with Reframed Media,2.0,3.0,0.0,4.0,S3,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,19,Design Minor,2024,CDES218,CDES218,recorded,Frames and Frequencies,Frames and Frequencies,2.0,2.0,0.0,4.0,S4,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,20,Design Minor,2024,CDES221,CDES221,recorded,Information Architecture and Design,Information Architecture and Design,2.0,2.0,0.0,4.0,S5,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,21,Design Minor,2024,CDES227,CDES227,recorded,Drawing and Moving Image,Drawing and Moving Image,2.0,2.0,0.0,4.0,S5,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,25,Design Minor,2025,CDES217,CDES217,recorded,Making with Reframed Media,Making with Reframed Media,2.0,2.0,0.0,4.0,S3,NIL,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Psychology,2,Psychology,2022,PSYC201,PSYC201,recorded,Biological Psychology,Biological Psychology,3.0,1.0,0.0,4.0,S3,Nil,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Psychology,3,Psychology,2022,PSYC202,PSYC202,recorded,Cognitive Psychology,Cognitive Psychology,2.0,2.0,0.0,4.0,S4,PSYC101,PSYC101,recorded
Minor_Courses_for_BTech_Students(3).xlsx,Psychology,4,Psychology,2022,PSYC255,PSYC255,recorded,Psychopathology,Psychopathology,3.0,1.0,0.0,4.0,S5,Nil,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Psychology,5,Psychology,2022,PSYC241,PSYC241,recorded,Social Psychology,Social Psychology,2.0,2.0,0.0,4.0,S6,PSYC101,PSYC101,recorded
Minor_Courses_for_BTech_Students(3).xlsx,Psychology,6,Psychology,2022,PSYC204,PSYC204,recorded,Developmental Psychology,Developmental Psychology,3.0,1.0,0.0,4.0,S6,PSYC101,PSYC101,recorded
Minor_Courses_for_BTech_Students(3).xlsx,Psychology,7,Psychology,2022,PSYC303,PSYC303,recorded,Psychological Testing and Measurement,Psychological Testing and Measurement,3.0,1.0,0.0,4.0,S7,"PSYC101, PSYC202, MATH131","PSYC101, PSYC202, MATH131",recorded
Minor_Courses_for_BTech_Students(3).xlsx,Psychology,9,Psychology,2023,PSYC201,PSYC201,recorded,Biological Psychology,Biological Psychology,3.0,1.0,0.0,4.0,S3,Nil,Nil,explicit_none
Minor_Courses_for_BTech_Students(3).xlsx,Psychology,10,Psychology,2023,PSYC202,PSYC202,recorded,Cognitive Psychology,Cognitive Psychology,2.0,2.0,0.0,4.0,S4,PSYC101,PSYC101,recorded
Minor_Courses_for_BTech_Students(3).xlsx,Psychology,11,Psychology,2023,PSYC104,PSYC104,recorded,Lifespan Development I,Lifespan Development I,3.0,1.0,0.0,4.0,S5,PSYC101,PSYC101,recorded
