source_workbook,source_sheet,source_row,structure_version,basket,credits
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,3,2022,University Core,18
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,4,2022,Foundation,34
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,5,2022,Program Core,46
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,6,2022,Program Honors,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,7,2022,Specialization Tracks,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,8,2022,Minor/Open,24
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,9,2022,Internship/Capstone Project,18
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,10,2022,Total Credits (for award of the Degree),180
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,3,2023,University Core,18
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,4,2023,Foundation,34
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,5,2023,Program Core,46
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,6,2023,Program Honors,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,7,2023,Specialization Tracks,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,8,2023,Minor/Open,24
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,9,2023,Internship/Capstone Project,18
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,10,2023,Total Credits (for award of the Degree),180
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2024,3,2024,University Core,18
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2024,4,2024,Foundation,34
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2024,5,2024,Program Core,46
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2024,6,2024,Program Honors,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2024,7,2024,Specialization Tracks,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2024,8,2024,Minor/Open,24
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2024,9,2024,Internship/Capstone Project,18
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2024,10,2024,Total Credits,180
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2025,3,2025,University Core,24
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2025,4,2025,Foundation,24
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2025,5,2025,Program Core,46
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2025,6,2025,Program Honors,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2025,7,2025,Specialization Tracks,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2025,8,2025,Minor/Open,32
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2025,9,2025,Internship/Capstone Project,14
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2025,10,2025,Total Credits,180
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2026_DS,3,2026,University Core,18
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2026_DS,4,2026,Foundation,26
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2026_DS,5,2026,Program Core,50
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2026_DS,6,2026,Program Honors,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2026_DS,7,2026,Electives,20
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2026_DS,8,2026,Minor/Open,32
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2026_DS,9,2026,Internship/Capstone Project,14
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2026_DS,10,2026,Total Credits,180
