course_id,alias,normalized_alias,canonical_title,course_code,source_tables
C_111cd861a9,Academic Writing,academic writing,Academic Writing,ENGL201,"course_master,semester"
C_24f53ac76a,Advanced Exploratory Data Analysis,advanced exploratory data analysis,Advanced Exploratory Data Analysis,DATA209,"course_master,semester"
C_ab940ea7df,Advanced Statistical Analysis and Research Methods,advanced statistical analysis and research methods,Advanced Statistical Analysis and Research Methods,MATH210,"course_master,semester"
C_93ca4b8b20,Advanced Statistical Analysis and Research Methods with R,advanced statistical analysis and research methods with r,Advanced Statistical Analysis and Research Methods with R,MATH206,"course_master,semester"
C_249e2516ee,Analysis of Algorithms,analysis of algorithms,Analysis of Algorithms,COMP203,"course_master,semester"
C_27794243da,Analytical Academic Writing,analytical academic writing,Analytical Academic Writing,UCOR207,"course_master,semester"
C_213d8cb3ec,Appreciating and Deconstructing Art and Media,appreciating and deconstructing art and media,Appreciating and Deconstructing Art and Media,CDES105,minor
C_21839c83f1,Artificial Intelligence,artificial intelligence,Artificial Intelligence,COMP301,"course_master,semester"
C_9484d02987,Basics of INVESTMENT MANAGEMENT,basics of investment management,Basics of INVESTMENT MANAGEMENT,MGMT210,minor
C_e28ea22d5c,Basics of International Law,basics of international law,Basics of International Law,LAWM302,minor
C_9484d02987,Basics of Investment Management,basics of investment management,Basics of Investment Management,MGMT210,minor
C_99c8da4bbf,Basics of Startup Finance,basics of startup finance,Basics of Startup Finance,MGMT323,minor
C_4c6de8a044,Behavourial Economics,behavourial economics,Behavourial Economics,ECON220,minor
C_c9fe37ae45,Biological Psychology,biological psychology,Biological Psychology,PSYC201,minor
C_02c859931b,Biological Psychology/ Foundations of Psychology I,biological psychology foundations of psychology i,Biological Psychology/ Foundations of Psychology I,PSYC201/PSYC103,minor
C_95b5385b3b,Brand Management,brand management,Brand Management,MGMT211,minor
C_1150232dc1,Business Strategy Simulation,business strategy simulation,Business Strategy Simulation,MGMT203,minor
C_786f20226c,Calculus,calculus,Calculus,MATH201,"course_master,semester"
