source_workbook,source_sheet,source_row,batch,placeholder_type,raw_title,raw_credits,raw_prerequisite
Minor_Courses_for_BTech_Students(3).xlsx,Law Minor,9,2023,DON'T KNOW,Don't Know,5,
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,9,2022,DON'T KNOW,DON'T KNOW,4,
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,22,2024,TBD,TBD,8,
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,26,2025,TBD,TBD,20,
Minor_Courses_for_BTech_Students(3).xlsx,Design Minor,28,2026,TBD,TBD,24,
Minor_Courses_for_BTech_Students(3).xlsx,Finance,42,2025,TBD,TBD,2,
Minor_Courses_for_BTech_Students(3).xlsx,Finance,47,2026,TBD,TBD,20,
Minor_Courses_for_BTech_Students(3).xlsx,Marketing,42,2025,TBD,TBD,5,
Minor_Courses_for_BTech_Students(3).xlsx,Marketing,47,2026,TBD,TBD,20,
Minor_Courses_for_BTech_Students(3).xlsx,Start-up,5,2024,TBD,TBD,16,
Minor_Courses_for_BTech_Students(3).xlsx,Start-up,13,2025,TBD,TBD,10,
